Movie_ID,IMDB_Score,RT_Score,MetaC_Score,Ebert_Score
193,0.76,0.92,0.7,3.0
85,0.78,0.9,0.72,3.0
168,0.78,0.95,0.94,3.5
131,0.56,0.66,0.54,2.5
160,0.72,0.98,0.82,3.5
196,0.71,0.8,0.6,2.0
289,0.63,0.86,0.68,2.5
165,0.73,0.94,0.85,3.0
76,0.74,0.99,0.86,4.0
252,0.56,0.2,0.36,2.0
8,0.66,0.77,0.81,3.5
83,0.63,0.84,0.75,4.0
55,0.73,0.94,0.91,3.0
158,0.81,0.97,0.95,4.0
216,0.77,0.92,0.78,4.0
156,0.81,0.94,0.91,3.5
90,0.77,0.96,0.86,3.5
97,0.83,0.93,0.9,4.0
177,0.62,0.91,0.72,2.5
41,0.7,0.71,0.61,3.0
126,0.68,0.95,0.82,3.5
149,0.67,0.84,0.66,2.0
72,0.7,0.85,0.74,4.0
64,0.73,0.91,0.81,4.0
234,0.7,0.59,0.56,3.0
262,0.65,0.73,0.51,2.5
261,0.71,0.86,0.66,3.0
207,0.82,0.88,0.82,2.5
239,0.58,0.47,0.6,2.0
134,0.64,0.83,0.72,3.5
257,0.63,0.41,0.3,2.0
192,0.67,0.85,0.73,3.5
133,0.64,0.7,0.59,2.0
254,0.8,0.85,0.79,3.5
224,0.72,0.68,0.56,2.0
258,0.65,0.46,0.49,2.0
123,0.61,0.95,0.78,3.5
136,0.68,0.88,0.8,3.5
65,0.74,0.97,0.95,3.5
80,0.74,0.95,0.85,4.0
198,0.69,0.94,0.7,3.5
53,0.64,0.54,0.48,3.0
110,0.65,0.9,0.75,3.5
188,0.85,0.8,0.67,2.0
6,0.71,0.95,0.87,4.0
228,0.8,0.88,0.81,3.5
219,0.54,0.45,0.46,2.0
109,0.69,0.92,0.81,3.5
91,0.61,0.71,0.63,4.0
226,0.75,0.86,0.73,2.5
217,0.7,0.74,0.64,3.0
11,0.76,0.95,0.85,3.5
235,0.85,0.93,0.87,3.5
78,0.59,0.9,0.87,3.5
122,0.72,0.96,0.86,4.0
229,0.77,0.86,0.65,2.5
121,0.73,0.97,0.78,3.5
57,0.61,0.85,0.83,4.0
181,0.62,0.86,0.69,3.5
99,0.74,0.91,0.93,4.0
69,0.66,0.98,0.87,4.0
157,0.73,0.97,0.86,4.0
221,0.53,0.48,0.56,2.5
189,0.77,0.99,0.81,3.0
143,0.67,0.91,0.74,3.5
128,0.66,0.91,0.75,3.5
62,0.74,0.71,0.75,3.5
253,0.61,0.5,0.49,2.0
220,0.65,0.43,0.52,2.5
75,0.65,0.76,0.76,4.0
163,0.69,0.91,0.74,3.5
137,0.75,0.93,0.81,2.5
100,0.77,0.96,0.87,3.5
194,0.67,0.74,0.55,1.5
49,0.69,0.67,0.57,2.0
184,0.65,0.94,0.72,2.5
10,0.76,0.85,0.78,4.0
54,0.71,0.75,0.52,2.5
108,0.62,0.87,0.78,4.0
233,0.53,0.32,0.35,1.0
140,0.79,0.97,0.82,3.5
51,0.66,0.7,0.51,3.0
60,0.74,0.93,0.79,4.0
77,0.87,0.94,0.92,4.0
206,0.79,0.97,0.86,4.0
267,0.69,0.93,0.78,3.5
173,0.68,0.92,0.8,4.0
179,0.7,0.92,0.78,3.0
144,0.64,0.9,0.74,2.5
124,0.78,0.94,0.91,4.0
81,0.74,0.92,0.82,2.5
242,0.83,0.76,0.68,3.5
180,0.63,0.93,0.72,3.0
200,0.74,0.84,0.64,3.0
63,0.72,0.85,0.74,3.5
148,0.75,0.91,0.8,3.5
101,0.66,0.87,0.75,3.5
244,0.68,0.57,0.6,3.0
236,0.75,0.63,0.62,3.0
79,0.68,0.85,0.78,3.5
154,0.69,0.92,0.8,4.0
208,0.65,0.68,0.53,50.0
167,0.77,0.96,0.9,4.0
265,0.62,0.41,0.39,1.0
288,0.81,0.9,0.88,4.0
59,0.65,0.86,0.8,4.0
92,0.66,0.92,0.6,3.0
169,0.74,0.94,0.83,3.5
232,0.73,0.84,0.49,3.0
175,0.71,0.8,0.64,3.0
47,0.62,0.54,0.61,3.0
73,0.75,0.9,0.89,4.0
43,0.77,0.9,0.83,4.0
88,0.85,0.99,1.0,4.0
95,0.66,0.97,0.84,4.0
105,0.85,0.99,0.97,4.0
182,0.63,0.83,0.83,4.0
195,0.67,0.89,0.84,4.0
102,0.65,0.98,0.88,3.5
251,0.73,0.77,0.5,2.0
67,0.72,0.98,0.84,4.0
138,0.62,0.88,0.67,3.0
56,0.75,0.76,0.69,3.5
89,0.68,0.91,0.86,4.0
237,0.69,0.69,0.57,3.5
166,0.75,0.97,0.91,4.0
199,0.67,0.94,0.75,4.0
174,0.73,0.89,0.78,3.5
132,0.7,0.87,0.68,3.5
243,0.75,0.59,0.56,4.0
238,0.73,0.82,0.76,2.5
111,0.68,0.94,0.89,4.0
201,0.8,0.94,0.8,4.0
70,0.77,0.97,0.83,4.0
247,0.64,0.5,0.49,3.0
113,0.67,0.9,0.81,3.5
263,0.71,0.39,0.46,1.0
129,0.68,0.86,0.74,4.0
139,0.6,0.86,0.66,3.0
231,0.8,0.91,0.84,4.0
150,0.66,0.85,0.68,3.5
260,0.66,0.62,0.5,1.5
52,0.74,0.81,0.79,4.0
7,0.81,0.97,0.9,4.0
96,0.63,0.89,0.86,3.0
147,0.71,0.9,0.9,4.0
159,0.81,1.0,0.78,3.0
106,0.77,0.97,0.82,3.5
211,0.83,0.93,0.76,4.0
94,0.61,0.8,0.7,2.0
215,0.75,0.95,0.9,4.0
172,0.73,0.86,0.7,3.0
264,0.62,0.18,0.31,2.5
130,0.66,0.95,0.74,3.0
142,0.71,0.96,0.79,4.0
183,0.69,0.69,0.56,2.5
98,0.74,0.9,0.83,3.0
240,0.65,0.26,0.35,2.0
230,0.77,0.97,0.78,3.0
58,0.73,0.93,0.82,4.0
